ID,coffee_in_cafe,cost_beer,cost_coworking,cost_expat,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,latitude,leisure,lgbt_friendly,life_score,longitude,nightlife,nomadScore,nomad_score,peace_score,place,places_to_work,press_freedom_index,racism,safety,weed,City,Temperature (Celsius),Wind Speed (m/s),Latitude,Longitude,Description,Country,Rank_x,Visa-Free Access,GDP per capita (USD),  Dwellings without basic facilities,  Housing expenditure,  Rooms per person,  Household net adjusted disposable income,  Household net wealth,  Labour market insecurity,  Employment rate,  Long-term unemployment rate,  Personal earnings,  Quality of support network,  Educational attainment,  Student skills,  Years in education,  Air pollution,  Water quality,  Stakeholder engagement for developing regulations,  Voter turnout,  Life expectancy,  Self-reported health,  Feeling safe walking alone at night,  Homicide rate,  Employees working very long hours,  Time devoted to leisure and personal care,  Life satisfaction,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019,Rank_y,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,GDP (in Trillions USD),GDP per Capita (in USD),Inflation Rate (%),Population (in Millions),Population Growth Rate (%),Urban Population (%),Life Expectancy (Years),Healthcare Expenditure per Capita (USD),Doctor-to-Patient Ratio,Literacy Rate (%),Education Expenditure as % of GDP,Internet Penetration (%),Smartphone Adoption (%),Energy Consumption (TWh),Renewable Energy Share (%),Military Expenditure (in Billion USD),Number of Active Military Personnel,CO2 Emissions (Million Metric Tons),Forest Coverage (%),Number of Airports,Road Network Length (in km),Public Transport Usage (%),Human Development Index (HDI),Gender Equality Index,Poverty Rate (%),Number of International Visitors (in Millions),Tourism Revenue (in Billion USD),Agricultural Land (%),Unemployment Rate (%),Labor Force Participation Rate (%),"Crime Rate (per 100,000)",Corruption Perception Index,Freedom of Press Index,Voting Participation Rate (%),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
0,1.73,1.73,152.41,1273,1364,1,52.7,0.4,0.6,0.6,31,47.497912,0.8,0.27,0.86,19.040235,1,1,1,0.8,Budapest,1,28.17,0.4,0.6,0,Budapest,15.53,3.09,47.498,19.0399,clear sky,Hungary,7th,187,23319,3.5,19.9,1.4,21026,150296,3.8,70,1.2,25409,94,86,479,16,16.7,81,1.2,70,76.4,58,74,0.9,1.5,15.08,6,0.835,375.89,57,18,17,47,19,79,49,15,55,41.7,11.3,27.1,39.8,37,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.85,0.85,98.88,780,777,0.8,78.8,0.6,0.2,0.6,14,18.787747,0.62,0.6,0.75,98.9931284,0.4,0.95,0.95,0.4,Chiang Mai,0.8,44.53,0.4,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.99,1.99,159.13,1653,1639,1,40.8,0.6,0.8,0.8,15,50.0755381,1,0.6,0.83,14.4378005,1,0.94,0.94,0.8,Prague,1,16.66,0.42,0.8,1,Prague,14.12,1.54,50.088,14.4208,clear sky,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.884,325.33,47,7,23,47,30,75,24,20,44,46.6,18.8,33.3,44.4,34.1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.88,1.88,47.01,1640,1545,1,,1,0.6,0.8,16,25.091075,1,0.8,0.93,121.5598345,0.6,0.94,0.94,,Taipei,1,24.37,0,1,0,Taipei,24.1,1.54,25.0478,121.5319,scattered clouds,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.818,,,,,,,,,,49,45.2,13.1,29.8,60.1,23,95.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,5,200,3309,3028,0.8,34,0.6,0.6,0.8,118,30.267153,1,0.6,0.95,-97.7430608,1,0.94,0.94,0.8,Austin,1,22.49,0.8,0.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,4,250,4325,3238,0.8,34,1,0.6,0.8,81,25.7616798,1,1,1,-80.1917902,1,0.92,0.92,0.8,Miami,1,22.49,0.8,0.73,0,Miami,25.04,8.23,25.7743,-80.1937,broken clouds,United States,8th,186,85373,0.1,18.3,2.4,51147,684500,4.2,67,0.5,69392,94,92,495,17,7.7,88,3.1,65,78.9,88,78,6,10.4,14.57,7,0.823,456.31,51,25,75,81,24,68,36,21,9,70.4,41.7,56.6,75,67.2,142.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5.38,5.38,161.3,2197,2554,0.8,39.8,0.6,0.8,0.8,18,40.4167754,0.6,1,0.88,-3.7037902,0.8,0.9,0.9,0.8,Madrid,1,19.92,0.6,0.8,1,Madrid,9.97,3.6,40.4165,-3.7026,clear sky,Spain,2nd,192,34045,0.3,21.7,1.9,27155,366534,15.8,62,5,37922,93,63,,18,10,76,1.8,72,83.9,75,80,0.7,2.5,15.75,6.5,0.859,212.04,24,5,17,29,15,61,15,16,40,47.3,22.9,35.6,46,44.1,92.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,5,300,2691,3503,0.8,34,0.4,0.6,1,23,45.5230622,1,0.8,0.95,-122.6764816,1,0.9,0.9,0.8,Portland,1,22.49,0.8,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,5,490,3764,3427,0.8,34,1,0.6,1,55,32.715738,0.6,0.8,0.92,-117.1610838,1,0.89,0.89,0.8,San Diego,1,22.49,0.8,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4.03,4.03,96.78,1859,2245,0.8,39.8,0.24,0.8,0.8,24,28.1235459,0.78,1,0.85,-15.4362574,0.8,0.88,0.88,0.8,Las Palmas,0.8,19.92,1,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
